icao24,callsign,country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate
39de4f,TVF91VP ,France,2026-01-28 20:11:55,2026-01-28 20:11:55,-3.5232,41.5066,11590.02,False,220.63,26.74,-0.33
4b1815,SWR27M  ,Switzerland,2026-01-28 20:11:55,2026-01-28 20:11:55,8.6062,47.3735,1173.48,False,83.32,335.18,-4.88
4b1817,SWR24C  ,Switzerland,2026-01-28 20:11:56,2026-01-28 20:11:56,8.2631,47.4091,3108.96,False,148.96,231.31,8.13
a6fe0f,N55LC   ,United States,2026-01-28 20:11:55,2026-01-28 20:11:56,-82.2471,30.1125,11109.96,False,245.23,175.19,-12.35
ae1fa0,072209  ,United States,2026-01-28 20:06:42,2026-01-28 20:06:42,-84.9156,38.1789,167.64,False,18.18,244.89,-0.65
4b1819,SWR1KV  ,Switzerland,2026-01-28 20:11:55,2026-01-28 20:11:55,8.511,47.5529,2004.06,False,117.88,55.13,13.0
408120,VIR157L ,United Kingdom,2026-01-28 20:11:49,2026-01-28 20:11:56,-71.0183,42.373,,True,0.0,315.0,
aa56db,UAL1324 ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-93.5676,37.1259,8839.2,False,233.0,39.0,0.0
a2e5ec,SKW3856 ,United States,2026-01-28 20:10:21,2026-01-28 20:10:21,-111.9968,40.7866,1181.1,False,38.75,354.67,0.0
aa56da,UAL1649 ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-118.6036,45.6699,11582.4,False,207.76,305.93,0.0
a33b55,N307WP  ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-90.6919,31.9078,7612.38,False,153.29,98.1,0.0
39de4a,TVF38ZF ,France,2026-01-28 20:11:55,2026-01-28 20:11:55,3.2287,48.9061,2956.56,False,152.78,224.73,-2.28
7c6b2b,JST132  ,Australia,2026-01-28 20:11:53,2026-01-28 20:11:53,171.9475,-35.9387,10340.34,False,238.19,297.95,5.2
a77ec5,EJA582  ,United States,2026-01-28 20:09:33,2026-01-28 20:09:33,-80.0866,26.6761,-22.86,False,52.03,316.2,-2.93
407a38,NPT905  ,United Kingdom,2026-01-28 20:11:56,2026-01-28 20:11:56,-2.0288,49.5467,4259.58,False,111.69,1.85,5.85
abd9d9,SWA2657 ,United States,2026-01-28 20:09:31,2026-01-28 20:09:31,-87.7436,41.7887,,True,0.0,177.19,
801640,AIC1832 ,India,2026-01-28 20:11:55,2026-01-28 20:11:55,81.0216,26.6988,10972.8,False,202.27,297.74,0.0
ab6fdd,AAL2951 ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-82.8887,38.0312,10972.8,False,197.92,249.78,0.0
a0f57e,N161B   ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,1.5289,41.2804,6560.82,False,158.9,305.65,24.38
440da5,EJU47ML ,Austria,2026-01-28 20:11:56,2026-01-28 20:11:56,6.8349,50.781,11277.6,False,241.79,54.79,0.0
39de50,TVF78YY ,France,2026-01-28 20:11:55,2026-01-28 20:11:55,-6.71,43.8536,10980.42,False,240.89,37.8,0.0
39de53,TVF4623 ,France,2026-01-28 20:11:55,2026-01-28 20:11:55,0.8466,41.4468,11582.4,False,208.47,22.64,0.0
a305fd,SKW3735 ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-122.6691,46.0604,6705.6,False,193.77,350.06,-0.33
a678e5,JTZ516  ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-77.4541,38.9686,,True,4.63,281.25,
39de54,TVF67KL ,France,2026-01-28 20:11:56,2026-01-28 20:11:56,4.6593,47.5545,8366.76,False,217.61,313.47,-4.88
e49405,GLO1974 ,Brazil,2026-01-28 20:11:11,2026-01-28 20:11:18,-39.3479,-4.6749,7109.46,False,213.42,15.38,-9.43
aa56d8,UAL2637 ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-85.7743,42.7881,2354.58,False,149.19,90.0,-7.48
a34230,EJA309  ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-76.085,38.0653,10363.2,False,187.68,209.02,-0.33
a34e6a,ENY3612 ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-87.3948,41.8722,1615.44,False,108.61,74.05,-4.88
4b1809,SWR2252 ,Switzerland,2026-01-28 20:11:49,2026-01-28 20:11:49,8.5599,47.4515,,True,0.0,185.62,
ad4f0b,DAL3014 ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-81.7827,32.3535,5615.94,False,189.62,280.0,11.38
0d0c02,VIV9386 ,Mexico,2026-01-28 20:11:55,2026-01-28 20:11:55,-98.894,20.1984,5387.34,False,200.7,1.47,18.21
a4b20f,N401TP  ,United States,2026-01-28 20:11:54,2026-01-28 20:11:55,-112.787,33.4511,723.9,False,69.34,213.81,-0.65
801647,IGO1231 ,India,2026-01-28 20:11:56,2026-01-28 20:11:56,49.9303,27.2041,9845.04,False,198.46,320.57,-5.2
801648,IGO077  ,India,2026-01-28 20:11:55,2026-01-28 20:11:55,75.9965,13.9276,10088.88,False,219.81,289.41,4.55
c047b3,ADS237  ,Canada,2026-01-28 20:11:55,2026-01-28 20:11:55,-74.0602,70.5838,12192.0,False,224.85,256.5,0.0
a52bbb,N432NC  ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-83.6825,43.4331,632.46,False,39.63,271.49,-1.3
a665bd,N511GA  ,United States,2026-01-28 20:11:54,2026-01-28 20:11:54,-83.8514,31.6381,1744.98,False,120.88,250.87,-6.5
a665be,N511GB  ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-96.822,32.6053,9144.0,False,183.67,166.39,0.0
408111,LOG31AW ,United Kingdom,2026-01-28 20:11:55,2026-01-28 20:11:55,-3.31,55.0949,5189.22,False,140.28,167.29,0.33
acdfa6,AAL2319 ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-102.9441,37.1799,9753.6,False,207.38,246.61,0.0
ab63b4,WSN6    ,United States,2026-01-28 20:11:32,2026-01-28 20:11:33,-117.6938,34.6637,2476.5,False,90.57,268.7,0.0
ac4963,DAL2167 ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-120.8407,45.4847,8153.4,False,189.94,274.66,-11.05
aaef60,AAL2920 ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-84.9115,38.5914,10965.18,False,182.92,356.78,0.0
a3b88e,AAL3312 ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-108.1156,38.4041,10675.62,False,274.26,69.7,-0.98
4952ca,TAP440  ,Portugal,2026-01-28 20:11:55,2026-01-28 20:11:56,-1.4149,46.9875,10980.42,False,234.33,34.81,0.0
00b22e,SAA366  ,South Africa,2026-01-28 20:09:02,2026-01-28 20:09:02,28.2413,-26.1869,1737.36,False,78.65,15.95,-4.23
4952cc,TAP67NP ,Portugal,2026-01-28 20:11:56,2026-01-28 20:11:56,1.002,48.8181,11582.4,False,238.14,38.95,0.0
7c6b38,JST202  ,Australia,2026-01-28 20:11:55,2026-01-28 20:11:55,151.4132,-33.9676,2240.28,False,152.44,277.17,-3.9
a282e5,MXY606  ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-101.1092,37.5637,11277.6,False,253.79,108.07,0.0
7c6b37,JST500  ,Australia,2026-01-28 20:11:55,2026-01-28 20:11:55,149.6551,-34.6539,6400.8,False,210.45,54.25,0.0
4952cd,TAP442  ,Portugal,2026-01-28 20:11:56,2026-01-28 20:11:56,-7.9801,39.6264,9105.9,False,251.88,43.01,5.2
4952ce,TAP58Y  ,Portugal,2026-01-28 20:11:55,2026-01-28 20:11:55,-3.8023,45.3495,11574.78,False,209.78,10.46,0.0
7c6b36,JST504  ,Australia,2026-01-28 20:11:55,2026-01-28 20:11:56,144.847,-37.6746,,True,1.8,261.56,
7c6b35,JST295  ,Australia,2026-01-28 20:11:55,2026-01-28 20:11:55,171.7441,-42.274,10363.2,False,224.21,204.68,0.33
a10e8b,UAL1574 ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-91.082,33.4015,11887.2,False,264.65,84.42,0.0
a2cbaf,N28AN   ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-150.5784,60.9619,1203.96,False,64.51,48.56,-0.98
ace6b4,N930LS  ,United States,2026-01-28 20:11:54,2026-01-28 20:11:55,-91.4166,36.6507,12192.0,False,267.61,198.26,0.0
a3a578,00000000,United States,2026-01-28 20:11:55,2026-01-28 20:11:56,-95.679,40.3631,13716.0,False,190.01,248.23,0.33
7c6b19,JST501  ,Australia,2026-01-28 20:11:55,2026-01-28 20:11:56,144.8058,-37.4826,1043.94,False,85.04,183.47,-0.65
7c6b0c,JST603  ,Australia,2026-01-28 20:11:55,2026-01-28 20:11:56,145.6663,-37.4356,7002.78,False,197.94,240.24,-11.05
a23565,TRF50   ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-96.0516,30.2947,1203.96,False,48.69,74.05,2.6
7c6b0b,JST287  ,Australia,2026-01-28 20:11:55,2026-01-28 20:11:55,173.7707,-42.5596,7200.9,False,198.34,214.43,-4.88
a23563,N241TD  ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-118.2609,33.599,1127.76,False,48.32,108.63,-0.65
ae26b2,C6592   ,United States,2026-01-28 20:11:55,2026-01-28 20:11:56,-122.3082,47.8849,342.9,False,49.68,291.25,-0.98
ae1fba,NUKED72 ,United States,2026-01-28 20:11:49,2026-01-28 20:11:53,-85.6417,31.8985,594.36,False,49.48,93.58,-0.33
ab76f8,N838KE  ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-80.0548,27.2474,769.62,False,95.09,171.91,-5.53
a7e8bf,ASA64   ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-148.3674,61.2118,8907.78,False,201.24,108.48,5.2
a1befc,UAL384  ,United States,2026-01-28 20:11:54,2026-01-28 20:11:55,-111.7148,39.2743,9144.0,False,191.1,259.3,-0.33
a6aecd,N53HK   ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-119.335,34.3196,1889.76,False,120.35,297.77,0.33
aa69db,ENY3352 ,United States,2026-01-28 20:11:55,2026-01-28 20:11:55,-85.7137,41.9092,9890.76,False,269.72,97.34,7.8
a4c558,N4060W  ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-118.3326,33.7171,342.9,False,51.56,114.78,-0.65
80160f,IGO085  ,India,2026-01-28 20:11:46,2026-01-28 20:11:46,56.5366,24.9632,10363.2,False,190.65,284.37,0.0
80160d,AXB1121 ,India,2026-01-28 20:11:53,2026-01-28 20:11:55,77.163,28.5263,548.64,False,63.51,283.59,-3.58
aaa6dd,AAL60   ,United States,2026-01-28 20:10:57,2026-01-28 20:10:57,-97.046,32.8996,,True,1.54,112.5,
a175ff,N1932S  ,United States,2026-01-28 20:06:54,2026-01-28 20:06:54,-119.3307,36.3882,2354.58,False,137.31,324.76,-7.48
a6eb12,LXJ545  ,United States,2026-01-28 20:11:56,2026-01-28 20:11:56,-94.5032,43.0562,13106.4,False,268.65,178.35,0.33
