icao24,callsign,country,latitude,longitude,baro_altitude,velocity,heading,vertical_rate,time_position,on_ground,altitude_ft,speed_kmh,timestamp,speed_anomaly,altitude_anomaly,vertical_rate_anomaly,position_anomaly,rule_anomaly,index_right,country
39de4f,TVF91VP ,France,41.5312,-3.5067,11582.4,220.86,26.57,0.0,2026-01-28 20:12:09,False,38000.001216,795.0960000000001,2026-01-28 20:12:09,False,False,False,False,False,132.0,Spain
4b1815,SWR27M  ,Switzerland,47.3832,8.5995,1097.28,82.39,334.88,-4.88,2026-01-28 20:12:09,False,3600.0001152,296.604,2026-01-28 20:12:09,False,False,False,False,False,127.0,Switzerland
4b1817,SWR24C  ,Switzerland,47.3967,8.2404,3223.26,159.24,231.43,10.4,2026-01-28 20:12:10,False,10575.0003384,573.264,2026-01-28 20:12:10,False,False,False,False,False,127.0,Switzerland
a6fe0f,N55LC   ,United States,30.0803,-82.2432,10934.7,248.61,173.35,-11.7,2026-01-28 20:12:10,False,35875.001148,894.9960000000001,2026-01-28 20:12:10,False,False,False,False,False,4.0,United States of America
4b1819,SWR1KV  ,Switzerland,47.5565,8.5327,2202.18,119.42,91.97,13.66,2026-01-28 20:12:09,False,7225.0002312,429.912,2026-01-28 20:12:09,False,False,False,False,False,127.0,Switzerland
aa56db,UAL1324 ,United States,37.1494,-93.5439,8839.2,233.0,39.0,0.0,2026-01-28 20:12:10,False,29000.000928,838.8000000000001,2026-01-28 20:12:10,False,False,False,False,False,4.0,United States of America
a2e5ec,SKW3856 ,United States,40.7866,-111.9968,1181.1,38.75,354.67,0.0,2026-01-28 20:10:21,False,3875.000124,139.5,2026-01-28 20:10:21,False,False,False,False,False,4.0,United States of America
aa56da,UAL1649 ,United States,45.685,-118.6333,11582.4,207.76,305.93,-0.33,2026-01-28 20:12:10,False,38000.001216,747.936,2026-01-28 20:12:10,False,False,False,False,False,4.0,United States of America
a33b55,N307WP  ,United States,31.905,-90.6688,7612.38,153.29,98.1,0.0,2026-01-28 20:12:09,False,24975.0007992,551.8439999999999,2026-01-28 20:12:09,False,False,False,False,False,4.0,United States of America
39de4a,TVF38ZF ,France,48.8923,3.2079,2926.08,152.42,224.59,-2.6,2026-01-28 20:12:10,False,9600.0003072,548.712,2026-01-28 20:12:10,False,False,False,False,False,43.0,France
7c6b2b,JST132  ,Australia,-35.9387,171.9475,10340.34,238.19,297.95,5.2,2026-01-28 20:11:53,False,33925.0010856,857.484,2026-01-28 20:11:53,False,False,False,False,False,,
a77ec5,EJA582  ,United States,26.6761,-80.0866,-22.86,52.03,316.2,-2.93,2026-01-28 20:09:33,False,-75.0000024,187.308,2026-01-28 20:09:33,False,True,False,False,True,4.0,United States of America
407a38,NPT905  ,United Kingdom,49.5608,-2.0281,4343.4,112.72,1.83,5.85,2026-01-28 20:12:10,False,14250.000455999998,405.792,2026-01-28 20:12:10,False,False,False,False,False,,
801640,AIC1832 ,India,26.7112,80.9954,10972.8,202.27,297.74,0.0,2026-01-28 20:12:09,False,36000.001152,728.172,2026-01-28 20:12:09,False,False,False,False,False,98.0,India
ab6fdd,AAL2951 ,United States,38.0225,-82.9187,10972.8,197.92,249.78,0.0,2026-01-28 20:12:09,False,36000.001152,712.512,2026-01-28 20:12:09,False,False,False,False,False,4.0,United States of America
a0f57e,N161B   ,United States,41.2917,1.5077,6858.0,154.17,305.49,13.66,2026-01-28 20:12:09,False,22500.00072,555.012,2026-01-28 20:12:09,False,False,False,False,False,132.0,Spain
440da5,EJU47ML ,Austria,50.7984,6.8739,11277.6,241.49,54.89,0.33,2026-01-28 20:12:10,False,37000.001184,869.364,2026-01-28 20:12:10,False,False,False,False,False,121.0,Germany
39de50,TVF78YY ,France,43.878,-6.684,10980.42,240.89,37.8,-0.33,2026-01-28 20:12:10,False,36025.0011528,867.204,2026-01-28 20:12:10,False,False,False,False,False,,
39de53,TVF4623 ,France,41.4711,0.8601,11582.4,211.71,22.58,-0.33,2026-01-28 20:12:09,False,38000.001216,762.1560000000001,2026-01-28 20:12:09,False,False,False,False,False,132.0,Spain
a305fd,SKW3735 ,United States,46.0845,-122.6751,6705.6,193.17,350.19,0.0,2026-01-28 20:12:09,False,22000.000704,695.4119999999999,2026-01-28 20:12:09,False,False,False,False,False,4.0,United States of America
39de54,TVF67KL ,France,47.5735,4.6296,8298.18,216.53,313.36,-4.88,2026-01-28 20:12:10,False,27225.0008712,779.508,2026-01-28 20:12:10,False,False,False,False,False,43.0,France
e49405,GLO1974 ,Brazil,-4.6749,-39.3479,7109.46,213.42,15.38,-9.43,2026-01-28 20:11:11,False,23325.0007464,768.312,2026-01-28 20:11:11,False,False,False,False,False,29.0,Brazil
aa56d8,UAL2637 ,United States,42.7882,-85.7484,2247.9,149.19,90.0,-7.48,2026-01-28 20:12:09,False,7375.000236,537.0840000000001,2026-01-28 20:12:09,False,False,False,False,False,4.0,United States of America
a34230,EJA309  ,United States,38.0455,-76.099,10363.2,187.68,209.02,0.0,2026-01-28 20:12:09,False,34000.001088000005,675.648,2026-01-28 20:12:09,False,False,False,False,False,,
a34e6a,ENY3612 ,United States,41.8794,-87.3807,1546.86,94.86,36.62,-6.18,2026-01-28 20:12:10,False,5075.0001624,341.496,2026-01-28 20:12:10,False,False,False,False,False,4.0,United States of America
